Metric,Training_CV_Mean,Training_CV_SD,Test
Accuracy,0.9270479994164205,0.03312304645451246,0.9555555555555556
Balanced Accuracy,0.6535531135531136,0.17498773109533378,0.6666666666666666
Precision,0.4,0.48989794855663565,1.0
Recall,0.13333333333333333,0.19436506316151003,0.3333333333333333
F1-score,0.19047619047619047,0.26255330956362327,0.5
ROC-AUC,,,0.9682539682539683
